id	symbol	description	A2_rep1	A2_rep2	B2_rep1	B2_rep2	C2_rep1	C2_rep2	D3_rep1	D3_rep2	pUC57_rep1	pUC57_rep2
ENSG00000000003	TSPAN6	"tetraspanin 6"	1337.74004015769	1116.75878231273	1252.45620951161	1247.14271386683	1419.64007474397	2032.48460084722	1857.9299768445	2006.67718423892	1494.0652004664	1808.8087630201
ENSG00000000419	DPM1	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	1554.72779470295	586.909725011069	1439.55068895504	695.081833645961	1509.58417404217	996.670226489528	1000.37225747095	998.963569188708	1466.78227071875	942.117546120617
ENSG00000000457	SCYL3	"SCY1 like pseudokinase 3"	396.055318975819	459.74595125867	399.763024422298	373.284688439498	418.844163896093	403.485831871893	404.976436670545	409.793814513908	405.346384822189	419.825794721423
ENSG00000000460	C1orf112	"chromosome 1 open reading frame 112"	518.242598234317	453.224732091881	493.98326586863	423.342022138281	518.185407897089	561.567967493344	591.372876065266	561.461276113361	532.666723644543	582.063559461227
ENSG00000000971	CFH	"complement factor H"	2031.53907410824	715.703803555164	1854.11975131891	699.372462248714	2006.29039404715	856.654620653386	1900.17089656345	845.837766612336	2024.13354984926	754.26329221137
ENSG00000001036	FUCA2	"alpha-L-fucosid	symbol	descriptionase 2"	4038.5002472162	3761.11315444593	3912.15902519666	4078.95759168371	4163.60632796068	5114.33347339113	4259.62798372181	4958.35932152059	4049.56628682937	5000.9079411901
ENSG00000001084	GCLC	"glutamate-cysteine ligase catalytic subunit"	964.155944953546	1007.528361269	1030.36564038811	1099.83113183898	971.933252117857	1258.6349083765	915.890418033054	1171.04780446501	943.209856990093	1179.78164008156
ENSG00000001167	NFYA	"nuclear transcription factor Y subunit alpha"	823.71079638056	725.485632305349	1041.80666970659	782.324615235269	771.237090250979	659.428337163766	744.244776000505	717.503760643568	680.774056560342	909.385365515218
ENSG00000001461	NIPAL3	"NIPA like domain containing 3"	210.667722859478	285.303338547047	267.181684672815	280.321068713186	193.983915650594	258.953593589424	266.184843308289	249.376307052947	222.81059293912	253.318615120045
ENSG00000001497	LAS1L	"LAS1 like, ribosome biogenesis factor"	936.769140981814	1219.46798418966	837.887147147745	926.775778194615	1024.28877260487	871.710062141143	1218.95225474677	860.421176381515	1035.45214327976	875.230046622628
ENSG00000001561	ENPP4	"ectonucleotid	symbol	descriptione pyrophosphatase/phosphodiesterase 4"	224.712237716777	146.727431252767	226.801581195815	147.311582027848	238.284740678066	197.22628348962	194.442328864997	196.876031883906	209.169128065296	226.278987663411
